"ID","NUMBER","ENGLISH","TBL_ID","CONCEPTICON_ID","CONCEPTICON_GLOSS","Coverage"
"1","1","above",731,1741,"ABOVE",0.46
"2","2","all",962,98,"ALL",0.47
"3",3,"the ant",365,587,"ANT",1
"4","4","the armpit",92,1886,"ARMPIT",0.49
"5","5","bad",1053,1292,"BAD",0.61
"6",6,"the bamboo",389,1927,"BAMBOO",0.98
"7","7","the barley (tibetan or highland)",411,932,"BARLEY",0.25
"8",8,"to be alive",1087,1422,"BE ALIVE",0.96
"9",9,"the belly",96,1251,"BELLY",0.98
"10","10","below, under",732,1485,"BELOW OR UNDER",0.45
"11",11,"big",964,1202,"BIG",1
"12",12,"the bird",326,937,"BIRD",1
"13",13,"to bite",1753,1403,"BITE",0.98
"14",14,"black",1005,163,"BLACK",1
"15",15,"the blood",129,946,"BLOOD",1
"16","16","to blow (of wind)",1738,175,"BLOW (OF WIND)",0.56
"17","17","the body hair (hair or fur)",266,189,"HAIR (BODY)",0.52
"18",18,"the bone",133,1394,"BONE",0.98
"19",19,"the branch",374,1531,"BRANCH",0.9
"20",20,"the breast (female)",94,1402,"BREAST",0.98
"21",21,"to burn [intransitive]",1269,1428,"BURNING",0.96
"22",22,"to buy",1516,1869,"BUY",1
"23",23,"to chew",1424,321,"CHEW",0.94
"24","24","the child (young human)",169,1304,"CHILD (YOUNG HUMAN)",0.47
"25",25,"the cloud",7,1489,"CLOUD",1
"26",26,"cold (of temperature)",1063,1287,"COLD",1
"27",27,"to come",1491,1446,"COME",0.98
"28","28","correct (right)",1045,1725,"CORRECT (RIGHT)",0.4
"29",29,"to count",1640,1420,"COUNT",0.98
"30",30,"to cry (weep)",1485,1839,"CRY",0.98
"31","31","dark",1013,706,"DARK",0.48
"32","32","the daughter",222,1357,"DAUGHTER",0.53
"33",33,"the dew",15,1977,"DEW",0.92
"34",34,"to die",1651,1494,"DIE",1
"35",35,"to dig",1698,1418,"DIG",0.96
"36",36,"dirty",1086,1230,"DIRTY",0.92
"37",37,"the dog",289,2009,"DOG",1
"38",38,"the dream",699,2374,"DREAM",0.98
"39",39,"to drink",1370,1401,"DRINK",0.98
"40",40,"dry",1028,1398,"DRY",0.98
"41",41,"the dust",45,2,"DUST",0.92
"42",42,"the ear",81,1247,"EAR",0.96
"43",43,"early",1018,672,"EARLY",0.88
"44",44,"the earth (soil)",40,1228,"EARTH (SOIL)",0.94
"45","45","the earthworm",363,2350,"EARTHWORM",0.49
"46",46,"to eat",1198,1336,"EAT",1
"47",47,"the egg",450,744,"EGG",1
"48",48,"eight",804,1705,"EIGHT",0.88
"49",49,"the eye",79,1248,"EYE",0.98
"50",50,"far",974,1406,"FAR",1
"51","51","the father",218,1217,"FATHER",0.59
"52",52,"the feather",299,1201,"FEATHER",0.9
"53",53,"to fight",1234,1423,"FIGHT",0.96
"54",54,"the fire",18,221,"FIRE",1
"55","55","firewood",534,10,"FIREWOOD",0.46
"56",56,"the fish",351,227,"FISH",1
"57",57,"five",801,493,"FIVE",0.94
"58",58,"the flea",355,232,"FLEA",0.88
"59","59","to float",1553,1574,"FLOAT",0.43
"60","60","to flow",1502,2003,"FLOW",0.43
"61",61,"the flower",377,239,"FLOWER",1
"62",62,"to fly (move through air)",1318,1441,"FLY (MOVE THROUGH AIR)",1
"63","63","the fog",16,249,"FOG",0.56
"64",64,"the foot",103,1301,"FOOT",1
"65",65,"the forest",50,420,"FOREST",0.96
"66",66,"to forget",1704,1523,"FORGET",0.96
"67",67,"four",800,1500,"FOUR",0.94
"68","68","the fox",325,1312,"FOX",0.32
"69",69,"the frog",349,503,"FROG",0.98
"70",70,"the front (front side)",712,2194,"FRONT (PART)",0.92
"71","71","the frost",14,2034,"FROST",0.48
"72",72,"the fruit",378,1507,"FRUIT",1
"73",73,"full",984,1429,"FULL",0.92
"74",74,"to give",1345,1447,"GIVE",0.98
"75",75,"the goat",276,1502,"GOAT",0.92
"76",76,"good",1052,1035,"GOOD",1
"77",77,"the grass",436,606,"GRASS",0.98
"78",78,"green",1009,1425,"GREEN",0.96
"79",79,"the hail",13,609,"HAIL",0.9
"80",80,"the hair (of the head)",75,1040,"HAIR",1
"81",81,"the hand",107,1277,"HAND",0.98
"82",82,"hard",1034,1884,"HARD",0.98
"83",83,"he or she [third person singular]",934,262,"HE OR SHE OR IT",0.94
"84",84,"the head",74,1256,"HEAD",1
"85",85,"to hear",1682,1408,"HEAR",0.98
"86",86,"the heart",144,1223,"HEART",1
"87",87,"heavy",1014,1210,"HEAVY",0.96
"88","88","here",944,136,"HERE",0.53
"89",89,"to hide (conceal)",1169,602,"HIDE (CONCEAL)",0.98
"90",90,"high / tall",968,1265,"HIGH",0.98
"91",91,"to hold",1709,1448,"HOLD",0.96
"92","92","the hoof",264,152,"HOOF",0.48
"93","93","horizontal",1001,2376,"HORIZONTAL",0.47
"94",94,"the horn (keratinized skin)",263,1393,"HORN (ANATOMY)",0.98
"95","95","the horse",268,615,"HORSE",0.45
"96",96,"hot",1062,1286,"HOT",1
"97",97,"the house",494,1252,"HOUSE",0.98
"98","98","hundred",824,1634,"HUNDRED",0.51
"99",99,"to hunt",1230,1435,"HUNT",0.98
"100","100","the husband",247,1200,"HUSBAND",0.49
"101",101,"I [first person singular]",928,1209,"I",0.98
"102","102","the ice",17,617,"ICE",0.52
"103",103,"inside",715,1606,"INSIDE",0.98
"104",104,"to kill",1602,1417,"KILL",1
"105","105","to knead",1594,274,"KNEAD",0.43
"106",106,"the knee",101,1371,"KNEE",0.98
"107","107","knife",549,1352,"KNIFE",0.43
"108","108","to know (something)",1798,1410,"KNOW (SOMETHING)",0.55
"109","109","the lake",31,624,"LAKE",0.57
"110",110,"late",1019,477,"LATE",0.94
"111",111,"to laugh",1735,1355,"LAUGH",1
"112",112,"the leaf",376,628,"LEAF",1
"113","113","to learn",1742,504,"LEARN",0.49
"114",114,"left",710,244,"LEFT",0.96
