"Number","ID","Name_in_Text","Name_in_Source","SubGroup","Name","Coverage","Glottocode","Longitude","Latitude","Source"
30,"Mikir","Karbi (Mikir)","Mikir","Mikir","Karbi",179,"karb1241",93.050494,25.735084,"Walker1925,KonnerthFC,GruessnerNoDate"
31,"MotuoMenba","Tshangla","Motuo_Menba","Bodic","Bodic_Tshangla",217,"tsha1245",95.340883,29.325414,"Huang1992"
32,"OldBurmese","Old Burmese","Old_Burmese","Burmish","Burmish_Old_Burmese",214,"oldb1235",97.126742,21.624974,"Hill2017"
33,"OldChinese","Old Chinese","Old_Chinese","Sinitic","Sinitic_Old_Chinese",221,"oldc1244",108.777868,34.101745,"Baxter2014"
34,"OldTibetan","Old Tibetan","Old_Tibetan","Tibetan","Tibetan_Old_Tibetan",216,"clas1254",91.158704,30.027852,"Huang1992"
35,"Rabha","Rabha","Rabha","Koch","Rabha",171,"rabh1238",91.170064,25.820135,"Joseph2007"
36,"Rangoon","Rangoon Burmese","Rangoon","Burmish","Burmish_Rangoon",216,"nucl1310",96.190785,16.874207,"Huang1992,Hill2017"
37,"Rongpo","Rongpo","Rongpo","Tibeto-Kinauri","Tibeto_Kinauri_Rongpo",190,"rong1264",79.569987,30.530044,"Sharma2003"
38,"Tangut","Tangut","Tangut","Tangut","Tangut",236,"tang1334",106.285383,38.477453,"Li1997"
39,"Thulung","Thulung","Thulung","Kiranti","Kiranti_Thulung",210,"thul1246",87.609608,27.534944,"Allen1975"
40,"Alike","Alike Tibetan","Tibetan_Alike","Tibetan","Tibetan_Alike",209,"amdo1237",92.839938,38.318508,"Huang1992"
41,"Batang","Batang Tibetan","Tibetan_Batang","Tibetan","Tibetan_Batang",225,"kham1282",99.111944,30.00795,"Huang1992"
42,"Lhasa","Lhasa Tibetan","Tibetan_Lhasa","Tibetan","Tibetan_Lhasa",225,"utsa1239",91.171493,29.653441,"Huang1992"
43,"Xiahe","Xiahe Tibetan","Tibetan_Xiahe","Tibetan","Tibetan_Xiahe",225,"amdo1237",102.524979,35.210549,"Huang1992"
44,"Ukhrul","Ukhrul","Ukhrul","Naga","Naga_Ukhrul",247,"ukhr1238",94.37045,25.092617,"Mortensen2012"
45,"WobziKhroskyabs","Wobzi Khroskyabs","Wobzi_Khroskyabs","rGyalrong","Khroskyabs_Wobzi",224,"eree1240",101.427999,31.62758,"Lai2017"
46,"Xiandao","Xiandao","Xiandao","Burmish","Burmish_Xiandao",190,"xian1249",97.753173,24.494153,"Huang1992,Hill2017"
47,"Xingning","Xingning Chinese","Xingning","Sinitic","Sinitic_Xingning",212,"hakk1236",115.732382,24.13674,"Lai2017FN"
48,"Yidu","Yidu","Yidu","Deng","Deng_Yidu",213,"idum1241",95.650179,29.448172,"Huang1992"
49,"Zhaba","Zhaba","Zhaba_Daofu_County","Qiangic","Qiangic_Zhaba",224,"zhab1238",101.058397,30.538892,"Huang1992"
50,"MaerkangrGyalrong","Maerkang rGyalrong","rGyalrong_Maerkang","rGyalrong","rGyalrong_Maerkang",225,"situ1238",102.295293,31.868614,"Huang1992"
