"Number","ID","Name_in_Text","Name_in_Source","SubGroup","Name","Coverage","Glottocode","Longitude","Latitude","Source"
1,"Achang","Achang","Achang_Longchuan","Burmish","Burmish_Achang",197,"acha1249",97.89503,24.466605,"Huang1992,Hill2017"
2,"Atsi","Atsi","Atsi","Burmish","Burmish_Atsi",197,"zaiw1241",97.806689,24.193367,"Huang1992,Hill2017"
3,"Bahing","Bahing","Bahing","Kiranti","Kiranti_Bahing",178,"bahi1252",86.430334,27.309472,"Michailovsky1989"
4,"Bantawa","Bantawa","Bantawa","Kiranti","Kiranti_Bantawa",195,"bant1281",87.049995,27.117894,"Jongens2009"
5,"Beijing","Beijing Chinese","Beijing","Sinitic","Sinitic_Beijing",217,"beij1235",116.397422,39.909056,"Lai2017FN"
6,"Bokar","Bokar","Bokar","Tani","Tani_Bokar",225,"boka1249",93.15717,27.554547,"Huang1992"
7,"Bola","Bola","Bola","Burmish","Burmish_Bola",214,"pela1242",98.234243,24.405004,"Huang1992,Hill2017"
8,"Bunan","Bunan","Bunan","Tibeto-Kinauri","TibetoKinauri_Bunan",216,"gahr1239",77.076283,32.554766,"Widmer2014"
9,"Byangsi","Byangsi","Byangsi","Tibeto-Kinauri","TibetoKinauri_Byangsi",195,"byan1241",80.22309,29.583838,"Sharma2003a"
10,"Chaozhou","Chaozhou Chinese","Chaozhou","Sinitic","Sinitic_Chaozhou",205,"chao1238",116.622317,23.657699,"Lai2017FN"
11,"Chepang","Chepang","Chepang","Chepang","Chepang_Chepang",202,"chep1245",84.908801,27.785164,"Caughley2000"
12,"Daofu","Daofu","Daofu","rGyalrong","rGyalrong_Daofu",223,"horp1240",101.123742,30.975281,"Huang1992"
13,"DarangTaraon","Darang Taraon","Darang_Taraon","Deng","Deng_Darang_Taraon",217,"diga1241",97.469136,28.657986,"Huang1992"
14,"Dulong","Dulong","Dulong","Nungic","Nungic_Dulong",224,"drun1238",98.691868,27.749017,"Huang1992"
15,"Garo","Garo","Garo","Garo","Garo_Garo",206,"garo1247",90.333226,25.504744,"Burling2003"
16,"Guangzhou","Guangzhou Chinese","Guangzhou","Sinitic","Sinitic_Guangzhou",218,"guan1279",113.258099,23.131111,"Lai2017FN"
17,"Hakha","Hakha","Hakha_Chin","Chin","Chin_Hakha",222,"haka1240",92.820021,22.870089,"VanBik2014"
18,"Hayu","Hayu","Hayu","Kiranti","Kiranti_Hayu",177,"wayu1241",86.099009,27.302102,"Michailovsky1989a"
19,"Japhug","Japhug","Japhug","rGyalrong","rGyalrong_Japhug",225,"japh1234",101.957636,32.207076,"Jacques2015b"
20,"Jieyang","Jieyang Chinese","Jieyang","Sinitic","Sinitic_Jieyang",213,"chao1239",116.373013,23.551122,"Lai2017FN"
21,"Jingpho","Jingpho","Jingpho","Jingpho","Jingpho_Jingpho",225,"jing1260",97.329866,25.461826,"Huang1992"
22,"Khaling","Khaling","Khaling","Kiranti","Kiranti_Khaling",212,"khal1275",87.510016,27.390595,"Jacques2017FN"
23,"Kulung","Kulung","Kulung","Kiranti","Kiranti_Kulung",195,"kulu1253",86.910944,27.690037,"Tolsma1999"
24,"Lashi","Lashi","Lashi","Burmish","Burmish_Lashi",197,"lash1243",98.311333,24.111512,"Huang1992,Hill2017"
25,"Limbu","Limbu","Limbu","Kiranti","Kiranti_Limbu",198,"limb1266",87.889909,27.272065,"Jacques2017FN"
26,"Lisu","Lisu","Lisu","Loloish","Loloish_Lisu",224,"lisu1250",98.848486,25.950046,"Huang1992"
27,"Longgang","Longgang Chinese","Longgang","Sinitic","Sinitic_Longgang",211,"hakk1236",114.243825,22.725545,"Lai2017FN"
28,"Lushai","Mizo (Lushai)","Lushai","Mizo","Mizo_Lushai",200,"lush1249",92.629457,22.60535,"Lorrain1940"
29,"Maru","Maru","Maru","Burmish","Burmish_Maru",213,"maru1249",99.83,24.939981,"Huang1992,Hill2017"
