Grapheme	IPA
_.·._	+
.◦.+.	+
.•.+.	+
.+._.	+
.•.	NULL
•	NULL
'	ʔ
(	NULL
)	NULL
+	+
^+	NULL
+$	NULL
◦$	NULL
-	+
+.+	+
-$	NULL
^-	NULL
_$	NULL
^_	NULL
.	NULL
C	C/k
C/	C/k
_	+
a	a
a.	a
a./a	a./a
a/r	r/a
a:	aː
aa	aː
aa/a	aa/a
ai	ai
au	au
aà/a	aà/a
aː	aː
a̰	a̰
a̰ː	a̰ː
a̱	a̠
b	b
bh	bʰ
bʰ	bʰ
bʱ	bʱ
bʲ	bʲ
bˤ	bˤ
c	c
c/tʃ	c/tʃ
c/tʃʰ	c/tʃʰ
ch	ch/ts
ch/tsʰ	ch/tsʰ
ch/tʃ	ch/tʃ
cç	cç
cçh	cçʰ
cçʰ	cçʰ
cʰ	cʰ
d	d
dh	dʰ
dz	dz
dzh	dzʰ
dzʰ	dzʰ
dzʱ	dzʱ
dzˤ	dzˤ
dʐ	ɖʐ
dʑ	dʑ
dʒ	dʒ
dʒh	dʒʰ
dʒʰ	dʒʰ
dʰ	dʰ
dʱ	dʱ
dˤ	dˤ
d̺	d̺
e	e
e./e	e./e
e:	eː
ee	eː
ee/e	ee/e
ei	ei
eˀ	eˀ
eː	eː
e̱	e̠
e̱ː	e̱ː
f	f
g	g
gh	gh/gʰ
gʰ	gʰ
gʱ	gʱ
gʲ	gʲ
gʷˤ	gʷˤ
gˤ	gˤ
h	h
h/ʔ	h/ʔ
hl	l̥
hm	m̥
hn	n̥
hng	ŋ̊
hr	r̥
hŋ	ŋ̊
i	i
i./i	i./i
i:	iː
ie	ie
ii	iː
ij	i
iu	iu
iɛ	iɛ
iɛ̃	j ɛ̃
iˀ	iˀ
iː	iː
i̱	i̠
j	j
j/dʒ	j/dʒ
k	k
kh	kʰ
kk	kk
kw	kʷ
kʰ	kʰ
kʰʲ	kʲʰ
kʰˤ	kʰˤ
kʲ	kʲ
kʷʰˤ	kʷʰˤ
kʷˤ	kʷˤ
kˤ	kˤ
k͏ʰ	kʰ
l	l
lh	l̥
lʰ	lʰ
lˤ	lˤ
l̥	l̥
l̥ˤ	l̥ˤ
m	m
mb	ⁿb
mh	mh/m̥
mh/m̥	mh/m̥
ms	m s
mʲ	mʲ
mˤ	mˤ
m̥	m̥
m̥ˤ	m̥ˤ
m̩	m̩
n	n
nd	ⁿd
ndz	ⁿdz
ndʐ	ⁿɖʐ
ndʑ	ⁿdʑ
ng	ng/ŋ
nh	nh/n̊
ns	n s
nʲ	nʲ
nˤ	nˤ
n̥	n̥
n̥ʲ	n̥ʲ
n̩	n̩
n̵/n	n̵/n
n̺	n̺
o	o
o.	o./o
o./a	o./a
o./o	o./o
o:	oː
oi	oi
oo	oː
oo/a	oo/a
oo/o	oo/o
oɔ	oɔ
oɔ̄	oɔ̄
oː	oː
o̰	o̰
o̱	o̠
o₁	o₁/o
o₂	o₂/o
p	p
ph	pʰ
pp	pː
ps	p s
pʰ	pʰ
pˤ	pˤ
q	q
qh	qʰ
qʰ	qʰ
qʰˤ	qʰˤ
qʷʰˤ	qʷʰˤ
qʷˤ	qʷˤ
qˤ	qˤ
r	r
