ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
OldTibetan-1_above-1-1,OldTibetan-1_above-1,s.t.e.ŋ,20-above,false,expert,Sagart2018,,,
Japhug-1_above-1-1,Japhug-1_above-1,ɯ.◦.t.a.ʁ,49-above,false,expert,Sagart2018,,,
OldTibetan-2_all-1-1,OldTibetan-2_all-1,tʰ.a.m.s.◦.tɕ.a.d,3682-all,false,expert,Sagart2018,,,
Khaling-2_all-1-1,Khaling-2_all-1,kʰ.ø.l.e,1273-all,false,expert,Sagart2018,,,
Limbu-2_all-1-1,Limbu-2_all-1,k.a.k,1320-all,false,expert,Sagart2018,,,
Japhug-2_all-1-1,Japhug-2_all-1,tʰ.a.m.tɕ.ɤ.t,3682-all,false,expert,Sagart2018,,,
Tangut-2_all-1-1,Tangut-2_all-1,z.j.i.¹,0-all,false,expert,Sagart2018,,,
OldTibetan-5_bad-1-1,OldTibetan-5_bad-1,ŋ.a.n,245-bad,false,expert,Sagart2018,,,
Japhug-5_bad-1-1,Japhug-5_bad-1,ŋ.ɤ.n,245-bad,false,expert,Sagart2018,,,
OldTibetan-8_tobealive-1-1,OldTibetan-8_tobealive-1,g.s.o.n.+.p.o,280-tobealive,false,expert,Sagart2018,,,
Japhug-8_tobealive-1-1,Japhug-8_tobealive-1,s.ɯ.s.u,280-tobealive,false,expert,Sagart2018,,,
OldTibetan-9_thebelly-1-1,OldTibetan-9_thebelly-1,pʰ.o.b.a,1298-thebelly,false,expert,Sagart2018,,,
Khaling-9_thebelly-1-1,Khaling-9_thebelly-1,m.u.p.u,10241-thebelly,false,expert,Sagart2018,,,
Limbu-9_thebelly-1-1,Limbu-9_thebelly-1,s.a.pp.o.k,10241-thebelly,false,expert,Sagart2018,,,
Japhug-9_thebelly-1-1,Japhug-9_thebelly-1,t.ɯ.◦.x.t.u,370-thebelly,false,expert,Sagart2018,,,
Tangut-9_thebelly-1-1,Tangut-9_thebelly-1,o.¹,10241-thebelly,false,expert,Sagart2018,,,
OldTibetan-10_belowunder-1-1,OldTibetan-10_belowunder-1,g.ɕ.a.m,380-belowunder,false,expert,Sagart2018,,,
