?	ʔ	30
oˌ	o	
i_	i	
ij	i	
ks	k s	
tʰl	tʰ l	
ʔ⁵⁵	ʔ ⁵⁵	
ᴇ	ᴇ/e	
oˌ	o	
ʌ‍	ʌ	1
o:	oː	1
wo	w o	1
ûː	ûː/uː	1
ĩ̱	ĩ̠	1
á-	á/a +	1
kʰʲ	kʲʰ	1
ʣʰ	dzʰ	1
mm	m m	1
ʦh	tsʰ	1
C	C/	1
ụ	ụ/u	1
jwu	ɥ u	1
|t	t	1
dʒh	dʒʰ	1
ht	ʰt	1
n̵	n	1
hni	n̥ i	1
îz	î/i z	1
ŏ̰	ŏ̰	1
²¹⁴₅₅	²¹⁴/⁵⁵	1
⁵⁴₅₅ˌ	⁵⁴/⁵⁵	1
a-	a +	1
ō₁	ō₁/oː	1
ʦʰ	tsʰ	1
pa	p a	1
aʔ	a ʔ	1
⁶³	⁵³	1
tːsʰ	tsʰː	1
\	NULL	1
ài	ài	1
•	+	1
m-	m +	1
ãː	ãː	1
òi	ò/o i	1
phʃ	pʰ ʃ	1
³³₂₄	³³/²⁴	1
†ɲ̇	ɲ	1
̩	NULL	1
tʰi	tʰ i	1
ĭ	ĭ	1
wjɨɨ	ɥ ɨː	1
⁶	⁵	1
aà	aà/aː	1
r³⁵	r ³⁵	1
²¹₃₅͡	²¹/³⁵	1
r0	r̥	1
n-	n +	1
ŋˌ	ŋ	1
rs	r s	1
ṁ	ṁ/m	1
dī	d ī/iː	1
jwu.	ɥ u./u	1
wjɨ	ɥ ɨ	1
ɨ̣	ɨ./ɨ	1
ẹ	ẹ/e	1
i-	i +	1
⁵⁵)	⁵⁵	1
hdz	h dz	1
uʔ	u ʔ	1
kw	kʷ	1
çh	çʰ	1
ʔa	ʔ a	1
tsʰʷ	tsʷʰ	1
js	j s	1
ˌ	NULL	1
³₃₅	³³/⁵	1
·	NULL	1
mañ	m a ɲ	1
êː	êː/eː	1
e-	e +	1
pu	p u	1
jɵ	j ɵ	1
nn	n n	1
rɕ	r ɕ	1
|tɕ	tɕ	1
jwi.	ɥ i./i	1
jwɨ.	ɥ ɨ./ɨ	1
ɩː	ɪː	1
ə.	ə./ə	1
²¹₅₅	²¹/⁵⁵	1
jwa	ɥ a	1
'	ʔ	1
pi	p i	1
ɛ:	ɛː	1
ṅh	ŋ̊	1
îa	î/i a	1
rz	r z	1
²²₃₅	²²/³⁵	1
ɑ̱̆	ɑ̠̆	1
ɛ̱̃	ɛ̠̃	1
l-	l +	1
ı̃	ĩ	1
hŋ	ŋ̊	2
ôː	ôː/oː	2
xʐ	x ʐ	2
³¹₁₁	³¹/¹¹	2
ḭː	ḭː	2
əə	əː	2
e.	e./e	2
ẽ̱	ẽ̠	2
jɨ.	j ɨ./ɨ	2
êe	êe/eː	2
jwi	ɥ i	2
àː	àː/aː	2
ss	s s	2
ôo	ôo/oː	2
⁵⁵₂₁	⁵⁵/²¹	2
²¹₃₃	²¹/³³	2
ǒ	ǒ	2
ùi	ùi/ui	2
ũː	ũː	2
hng	ŋ̊	2
ı̀i	ìi/iː	2
ŋ̩̩	ŋ̩	2
āː	āː/aː	2
ùu	ùu/u	2
wu	w u	2
¹³₅₃	¹³/⁵³	2
ĩː	ĩː	2
fɕ	f ɕ	2
ōi	oːi	2
wu.	w u./u	2
⁵⁴₅₅	⁵⁴/⁵⁵	2
tr	t r	2
ɨɨ	ɨː	2
ǒo	ǒo/oː	2
ě	ě	2
uɑ̱	u ɑ̠	2
I	i	2
⁵³₁₁	⁵³/¹¹	2
ʣ	dz	2
ǐi	ǐi/i	3
ja.	j a./a	3
²³₃₅	²³/³⁵	3
jwo	j w o	3
²₅	²/⁵	3
ee	eː	3
jwɨ	j w ɨ	3
o.	o./o	3
