ʌ‍	ʌ	1
wo	w o	1
á-	á/a +	1
mm	m m	1
ʦh	tsʰ	1
C	C/	1
ụ	ụ/u	1
jwu	j w u	1
|t	t	1
dʒh	dʒʰ	1
ht	ht/ʰt	1
n̵	n̵/n	1
hni	hn/n̥ i	1
îz	î/i z	1
²¹⁴₅₅	⁵⁵/²¹⁴	1
⁵⁴₅₅ˌ	⁵⁵/⁵⁴	1
a-	a +	1
ō₁	ō₁/o	1
pa	p a	1
aʔ	a ʔ	1
⁶³	⁵³	1
\	NULL	1
•	+	1
m-	m +	1
³³₂₄	²⁴/³³	1
†ɲ̇	ɲ̇/ɲ	1
̩	NULL	1
tʰi	tʰ i	1
wjɨɨ	w j ɨɨ/ɨː	1
⁶	⁵	1
r³⁵	r ³⁵	1
²¹₃₅͡	³⁵/²¹	1
r0	r	1
n-	n +	1
ŋˌ	ŋ	1
rs	r s	1
ṁ	ṁ/m	1
dī	d ī/iː	1
jwu.	j w u./u	1
wjɨ	w j ɨ	1
ɨ̣	ɨ̣/ɨ	1
ẹ	ẹ/e	1
i-	i +	1
⁵⁵)	⁵⁵	1
hdz	ʰdz	1
uʔ	u ʔ	1
çh	çʰ	1
ʔa	ʔ a	1
js	j s	1
ˌ	NULL	1
·	+	1
mañ	m a ñ/ɲ	1
e-	e +	1
pu	p u	1
jɵ	j 	1
nn	n + n	1
rɕ	r ɕ	1
|tɕ	tɕ	1
jwi.	j w i./i	1
jwɨ.	j w ɨ./ɨ	1
ɩː	ɩː/iː	1
ə.	ə./ə	1
²¹₅₅	⁵⁵/²¹	1
jwa	j w a	1
'	ʔ	1
pi	p i	1
ṅh	ṅh/ŋ̊	1
rz	r z	1
²²₃₅	³⁵/²²	1
l-	l +	1
ı̃	ĩ	1
hŋ	hŋ/ŋ̊	2
xʐ	x ʐ	2
³¹₁₁	³¹/¹¹	2
e.	e./e	2
jɨ.	j ɨ./ɨ	2
jwi	j w i	2
ss	s + s	2
⁵⁵₂₁	⁵⁵/²¹	2
²¹₃₃	³³/²¹	2
hng	hng/ŋ̊	2
ı̀i	ı̀i/i	2
wu	w u	2
¹³₅₃	⁵³/¹³	2
fɕ	f ɕ	2
wu.	w u./u	2
⁵⁴₅₅	⁵⁵/⁵⁴	2
tr	t r	2
I	I/ɪ	2
⁵³₁₁	¹¹/⁵³	2
ja.	j a./a	3
²³₃₅	³⁵/²³	3
jwo	j w o	3
jwɨ	j w ɨ	3
o.	o./o	3
we	w e	3
wa	w a	3
ᴜ̃	ũ	3
ı̂	î/i	3
.	+	4
ạ	ạ/a	4
dzh	dzʰ	4
ɟj	ɟ j	4
jo	j o	4
thl	tʰ l	4
jaa	j aa/aː	5
ju	j u	5
wə	w ə	5
ññ	ññ/ɲː	5
âw	â/a w/u	5
ju.	j u./u	5
³⁵₁₁	¹¹/³⁵	6
hl	hl/l̥	6
a.	a./a	6
ị	ị/i	6
ɕh	ɕh/ɕʰ	7
jɨɨ	j ɨɨ/ɨː	7
²¹⁴₃₅	³⁵/²¹⁴	7
cçh	cçʰ	7
tl	t l	7
⁴⁵₃₅	³⁵/⁴⁵	7
(	NULL	7
)	NULL	8
ı̀	ì/i	8
hm	hm/m̥	9
ji.	j i./i	9
jii	j ii/iː	9
³¹₃₅	³⁵/³¹	9
ʲ	ʲ/j	9
rh	rh/r̥	9
ja	j a	9
⁵³₃₅	³⁵/⁵³	10
hr	hr/r̥	10
²¹₃₅	³⁵/²¹	10
⁵⁵₁₁	⁵⁵/¹¹	10
lh	lh/l̥	11
-	+	12
aw	a w/u	12
hn	hn/n̥	12
sh	sh/sʰ	12
o₁	o₁/o	13
jɨ	j ɨ	16
tʃh	tʃʰ	18
xh	xʰ	19
o₂	o₂/o	19
⁵³₅₅	⁵⁵/⁵³	20
k͏ʰ	kʰ	23
²¹⁴₂₁	²¹⁴	23
tʂh	ʈʂʰ	27
ji	j i	29
ᴇ	ᴇ/ɛ̝	30
ṅ	ṅ/ŋ	35
C/	C/	36
tsh	tsʰ	60
tɕh	tɕʰ	65
ḥ	ḥ/	84
ᴜ	u	87
